,index,image_link,group_id,entity_name
18,18,https://m.media-amazon.com/images/I/218BCzgKxuL.jpg,348551,wattage
38,38,https://m.media-amazon.com/images/I/21cLufe8Y5L.jpg,648011,wattage
52,52,https://m.media-amazon.com/images/I/21pFwZ8ghkL.jpg,955292,wattage
59,59,https://m.media-amazon.com/images/I/21tOerzlVML.jpg,957050,wattage
74,74,https://m.media-amazon.com/images/I/31+1xiVjZBL.jpg,997176,wattage
87,87,https://m.media-amazon.com/images/I/31+kevQrOnL.jpg,860821,wattage
102,102,https://m.media-amazon.com/images/I/31-OBkMKDLL.jpg,318770,wattage
112,112,https://m.media-amazon.com/images/I/3101lgy28BL.jpg,219211,wattage
115,115,https://m.media-amazon.com/images/I/3105qskWRcL.jpg,219211,wattage
166,166,https://m.media-amazon.com/images/I/311dT7UohfS.jpg,997176,wattage
183,183,https://m.media-amazon.com/images/I/313H+KOefpL.jpg,900671,wattage
205,205,https://m.media-amazon.com/images/I/3147F5NHEdL.jpg,900671,wattage
217,217,https://m.media-amazon.com/images/I/314p2NKHdLL.jpg,348551,wattage
229,229,https://m.media-amazon.com/images/I/315PtJZRiFL.jpg,900671,wattage
277,277,https://m.media-amazon.com/images/I/317e7XKMYmS.jpg,983323,wattage
298,298,https://m.media-amazon.com/images/I/319PRYi9q9L.jpg,276700,wattage
302,302,https://m.media-amazon.com/images/I/319Utc-4JCL.jpg,922709,wattage
324,324,https://m.media-amazon.com/images/I/31AnSDFDuuL.jpg,900671,wattage
335,335,https://m.media-amazon.com/images/I/31B43FuEJSL.jpg,525429,wattage
339,339,https://m.media-amazon.com/images/I/31BE5BamUYS.jpg,997176,wattage
377,377,https://m.media-amazon.com/images/I/31DKMfOhB4L.jpg,997176,wattage
385,385,https://m.media-amazon.com/images/I/31DTUHgs+EL.jpg,997176,wattage
406,406,https://m.media-amazon.com/images/I/31EES5Hi6CL.jpg,883833,wattage
414,414,https://m.media-amazon.com/images/I/31EX9Bfz9RL.jpg,519155,wattage
421,421,https://m.media-amazon.com/images/I/31EvISViE7L.jpg,957050,wattage
443,443,https://m.media-amazon.com/images/I/31Fh8XDXKmL.jpg,306956,wattage
445,445,https://m.media-amazon.com/images/I/31Fmc5aFJ3L.jpg,883833,wattage
