entity_value,image_link
3.9 centimetre,https://m.media-amazon.com/images/I/61Am7goxaFL.jpg
100.0 inch,https://m.media-amazon.com/images/I/51R8AlSuVKL.jpg
90.0 millimetre,https://m.media-amazon.com/images/I/51KghPIV6JL.jpg
53.0 centimetre,https://m.media-amazon.com/images/I/51gqMA7+K0L.jpg
217.0 millimetre,https://m.media-amazon.com/images/I/51YDWb+0+mL.jpg
16.0 inch,https://m.media-amazon.com/images/I/51544S1oCiL.jpg
1.18 inch,https://m.media-amazon.com/images/I/51brSZcFF7L.jpg
65.0 millimetre,https://m.media-amazon.com/images/I/513bbFLNI+L.jpg
25.0 centimetre,https://m.media-amazon.com/images/I/51p84vAQK8L.jpg
200.0 centimetre,https://m.media-amazon.com/images/I/51bpjtgntZL.jpg
25.5 centimetre,https://m.media-amazon.com/images/I/610FJ8HRCnL.jpg
26.5 centimetre,https://m.media-amazon.com/images/I/41KfWMKeN-L.jpg
30.0 millimetre,https://m.media-amazon.com/images/I/615oTjEYB0L.jpg
21.0 centimetre,https://m.media-amazon.com/images/I/61F6wD4fPFL.jpg
1.4 inch,https://m.media-amazon.com/images/I/513RMllK3sS.jpg
26.0 centimetre,https://m.media-amazon.com/images/I/51mDgaBW3AL.jpg
19.0 inch,https://m.media-amazon.com/images/I/51SL+qaaFoL.jpg
165.0 centimetre,https://m.media-amazon.com/images/I/51-FPHxRNVL.jpg
44.0 centimetre,https://m.media-amazon.com/images/I/61ARfalan2L.jpg
40.5 centimetre,https://m.media-amazon.com/images/I/51mxkZNEE1L.jpg
15.3 centimetre,https://m.media-amazon.com/images/I/51rLfBrj41L.jpg
10.0 inch,https://m.media-amazon.com/images/I/51K1dg-p1JL.jpg
16.0 centimetre,https://m.media-amazon.com/images/I/614qKNpJERL.jpg
1.6 inch,https://m.media-amazon.com/images/I/51Psausg0cL.jpg
10.0 centimetre,https://m.media-amazon.com/images/I/514PZXfkndL.jpg
52.0 millimetre,https://m.media-amazon.com/images/I/410cJXeoXXL.jpg
81.0 centimetre,https://m.media-amazon.com/images/I/61A8tKhJYOL.jpg
12.0 inch,https://m.media-amazon.com/images/I/51ffwHgimDL.jpg
20.0 centimetre,https://m.media-amazon.com/images/I/51lx2BWnwCL.jpg
1700.0 millimetre,https://m.media-amazon.com/images/I/51gi3zObmdL.jpg
110.0 centimetre,https://m.media-amazon.com/images/I/615mn4omBTL.jpg
67.0 millimetre,https://m.media-amazon.com/images/I/513r0jKjomL.jpg
5.4 centimetre,https://m.media-amazon.com/images/I/610E8H2PduL.jpg
86.0 millimetre,https://m.media-amazon.com/images/I/618UHkIYfVL.jpg
2.5 centimetre,https://m.media-amazon.com/images/I/51UsX1po5AL.jpg
7.5 inch,https://m.media-amazon.com/images/I/514HdJuApGL.jpg
9.1 inch,https://m.media-amazon.com/images/I/51ouIWzczDL.jpg
10.5 centimetre,https://m.media-amazon.com/images/I/51xfYe7JrdL.jpg
65.0 millimetre,https://m.media-amazon.com/images/I/41ludF9qtlL.jpg
74.0 centimetre,https://m.media-amazon.com/images/I/51hCoj4WCYL.jpg
435.0 millimetre,https://m.media-amazon.com/images/I/612C3zzoQ1L.jpg
9.0 inch,https://m.media-amazon.com/images/I/51XHkroI3pL.jpg
12.0 inch,https://m.media-amazon.com/images/I/51v3GYx3eeL.jpg
6.0 inch,https://m.media-amazon.com/images/I/61-FYJcz2iL.jpg
38.0 millimetre,https://m.media-amazon.com/images/I/61+iPlST-xL.jpg
132.0 millimetre,https://m.media-amazon.com/images/I/51GzV0nG31L.jpg
35.1 centimetre,https://m.media-amazon.com/images/I/61FDpscOSfL.jpg
45.0 centimetre,https://m.media-amazon.com/images/I/614YBuEZIFL.jpg
20.0 centimetre,https://m.media-amazon.com/images/I/51nqY69f2JL.jpg
600.0 centimetre,https://m.media-amazon.com/images/I/415X8zA-VPL.jpg
128.0 millimetre,https://m.media-amazon.com/images/I/512ahPdiQ-L.jpg
4.4 inch,https://m.media-amazon.com/images/I/51EpsPD4e4L.jpg
15.0 centimetre,https://m.media-amazon.com/images/I/51Z96EJWM2L.jpg
205.0 millimetre,https://m.media-amazon.com/images/I/6151JYNnFRL.jpg
28.5 centimetre,https://m.media-amazon.com/images/I/513lGLOqLhL.jpg
200.0 millimetre,https://m.media-amazon.com/images/I/51Af0d59moL.jpg
85.0 millimetre,https://m.media-amazon.com/images/I/512NGfseGmL.jpg
15.0 centimetre,https://m.media-amazon.com/images/I/611RmFwNKEL.jpg
54.0 inch,https://m.media-amazon.com/images/I/61DD27by3gL.jpg
9.5 centimetre,https://m.media-amazon.com/images/I/41MJzSHRSQL.jpg
19.0 inch,https://m.media-amazon.com/images/I/614AfQ9Y8eL.jpg
50.0 millimetre,https://m.media-amazon.com/images/I/51Q6x-eoobL.jpg
15.5 centimetre,https://m.media-amazon.com/images/I/616mJOKMPiL.jpg
75.0 inch,https://m.media-amazon.com/images/I/51l0xpuctPL.jpg
220.0 millimetre,https://m.media-amazon.com/images/I/51bJ3dVdYFL.jpg
3.0 inch,https://m.media-amazon.com/images/I/51v11Y+Q3QL.jpg
16.5 inch,https://m.media-amazon.com/images/I/51dKyPsBJ-L.jpg
7.9 inch,https://m.media-amazon.com/images/I/51FCFXgSxOL.jpg
2.0 centimetre,https://m.media-amazon.com/images/I/617lMuKgGTL.jpg
2.24 inch,https://m.media-amazon.com/images/I/41M131kGA1L.jpg
22.0 centimetre,https://m.media-amazon.com/images/I/51klElrdl9L.jpg
1.97 inch,https://m.media-amazon.com/images/I/413TzJzX-XL.jpg
25.0 centimetre,https://m.media-amazon.com/images/I/51SjjPbql9L.jpg
32.0 centimetre,https://m.media-amazon.com/images/I/61BypoGBksL.jpg
