entity_value,image_link
5.3 inch,https://m.media-amazon.com/images/I/617E6iSY7TL.jpg
10.16 centimetre,https://m.media-amazon.com/images/I/615RXHRiCeL.jpg
55.0 centimetre,https://m.media-amazon.com/images/I/618e4JBlySL.jpg
22.0 millimetre,https://m.media-amazon.com/images/I/512togrPRWS.jpg
28.3 inch,https://m.media-amazon.com/images/I/51BEuD9O1xL.jpg
42.0 inch,https://m.media-amazon.com/images/I/41YL4Zd434L.jpg
30.0 centimetre,https://m.media-amazon.com/images/I/41RoQb62F4L.jpg
30.7 inch,https://m.media-amazon.com/images/I/51huRiwWonL.jpg
21.0 millimetre,https://m.media-amazon.com/images/I/51Og-Te5QRL.jpg
60.0 centimetre,https://m.media-amazon.com/images/I/61+NIZOm-gL.jpg
31.0 centimetre,https://m.media-amazon.com/images/I/51BptQ-n2RL.jpg
27.5 centimetre,https://m.media-amazon.com/images/I/4137LUd3skL.jpg
43.0 centimetre,https://m.media-amazon.com/images/I/51FQoxpAi9L.jpg
43.0 centimetre,https://m.media-amazon.com/images/I/41lkvY-R9cL.jpg
25.0 centimetre,https://m.media-amazon.com/images/I/51GuaIkmb1L.jpg
82.0 centimetre,https://m.media-amazon.com/images/I/51N9mWmHaXL.jpg
2.4 inch,https://m.media-amazon.com/images/I/41bRrtoN+lL.jpg
21.0 centimetre,https://m.media-amazon.com/images/I/51q9P6oi4-L.jpg
10.0 inch,https://m.media-amazon.com/images/I/51ZgFDHmsmL.jpg
5.8 centimetre,https://m.media-amazon.com/images/I/612eu1IOs1L.jpg
4.0 inch,https://m.media-amazon.com/images/I/616Z+E5rTDL.jpg
8.0 centimetre,https://m.media-amazon.com/images/I/41BZk-x2OYL.jpg
245.0 centimetre,https://m.media-amazon.com/images/I/51-cDF5RasS.jpg
15.0 millimetre,https://m.media-amazon.com/images/I/619TjkGiV2L.jpg
4.8 inch,https://m.media-amazon.com/images/I/51cedL14YeL.jpg
35.0 inch,https://m.media-amazon.com/images/I/615j3efLSpL.jpg
60.0 centimetre,https://m.media-amazon.com/images/I/51-Y5GDK69L.jpg
7.0 centimetre,https://m.media-amazon.com/images/I/51kRGkj1K+L.jpg
70.0 centimetre,https://m.media-amazon.com/images/I/51LoNrKIv7L.jpg
60.0 millimetre,https://m.media-amazon.com/images/I/51wz1S8jugL.jpg
33.0 inch,https://m.media-amazon.com/images/I/61DBjw1FwZL.jpg
84.0 inch,https://m.media-amazon.com/images/I/511czka-P6L.jpg
2.0 inch,https://m.media-amazon.com/images/I/61-YnS7M-5L.jpg
14.01 inch,https://m.media-amazon.com/images/I/51YuHAjGQaL.jpg
4.5 centimetre,https://m.media-amazon.com/images/I/51Tx24rbb6L.jpg
63.0 millimetre,https://m.media-amazon.com/images/I/51ftC-0CEWL.jpg
10.0 centimetre,https://m.media-amazon.com/images/I/51hmcFnQTfL.jpg
2.95 inch,https://m.media-amazon.com/images/I/51J0wP-GiTS.jpg
0.75 inch,https://m.media-amazon.com/images/I/51Y4+OMTG4S.jpg
265.0 centimetre,https://m.media-amazon.com/images/I/61FPpCCiErS.jpg
45.0 centimetre,https://m.media-amazon.com/images/I/511+XcNfR4L.jpg
380.0 millimetre,https://m.media-amazon.com/images/I/51FK8EXhqaL.jpg
25.4 centimetre,https://m.media-amazon.com/images/I/51U+CLC3eKL.jpg
98.0 millimetre,https://m.media-amazon.com/images/I/41+Hys7jA4L.jpg
1.88 metre,https://m.media-amazon.com/images/I/416Nii7TTfL.jpg
72.0 inch,https://m.media-amazon.com/images/I/619TEaW5tdL.jpg
19.0 centimetre,https://m.media-amazon.com/images/I/51tj1qbA2QL.jpg
