entity_value,image_link
25.0 pint,https://m.media-amazon.com/images/I/81FkSx0prEL.jpg
16.0 fluid ounce,https://m.media-amazon.com/images/I/81gHUqN5PZL.jpg
"[8.0, 12.0] fluid ounce",https://m.media-amazon.com/images/I/71idPLeOqIL.jpg
2.0 millilitre,https://m.media-amazon.com/images/I/71DdnoHPb9L.jpg
2.0 fluid ounce,https://m.media-amazon.com/images/I/714Hq8eCbpL.jpg
250.0 millilitre,https://m.media-amazon.com/images/I/91xmKmxc06L.jpg
"[1.0, 1.6] millilitre",https://m.media-amazon.com/images/I/91EMY-+JoNL.jpg
0.7 fluid ounce,https://m.media-amazon.com/images/I/81DEg8pW2GL.jpg
8.0 fluid ounce,https://m.media-amazon.com/images/I/91ZBqOaQGiL.jpg
60.0 millilitre,https://m.media-amazon.com/images/I/51LiJ2ltLTS.jpg
3.52 fluid ounce,https://m.media-amazon.com/images/I/51CMQL8H-XL.jpg
22.0 gallon,https://m.media-amazon.com/images/I/71PSmBF6pRL.jpg
2.5 fluid ounce,https://m.media-amazon.com/images/I/816kgza-NKL.jpg
4.0 fluid ounce,https://m.media-amazon.com/images/I/71KmLg8bG8L.jpg
970.0 millilitre,https://m.media-amazon.com/images/I/71EPtrcWArL.jpg
175.0 millilitre,https://m.media-amazon.com/images/I/81owwudAD2L.jpg
1.0 litre,https://m.media-amazon.com/images/I/81y7wippvQL.jpg
30.0 millilitre,https://m.media-amazon.com/images/I/71smyxl4D0L.jpg
150.0 millilitre,https://m.media-amazon.com/images/I/81lEh56i+qL.jpg
1.0 decilitre,https://m.media-amazon.com/images/I/7137DtOm1WL.jpg
22.0 cup,https://m.media-amazon.com/images/I/91TrQdDNltL.jpg
8.0 fluid ounce,https://m.media-amazon.com/images/I/71pcFv3VM4L.jpg
6841.0 millilitre,https://m.media-amazon.com/images/I/71sjwyYu2UL.jpg
2800.0 millilitre,https://m.media-amazon.com/images/I/51q5cWLf9-L.jpg
2.65 gallon,https://m.media-amazon.com/images/I/518culbuQBS.jpg
335.0 millilitre,https://m.media-amazon.com/images/I/815s22p4GOL.jpg
60.0 millilitre,https://m.media-amazon.com/images/I/61V-dOM5myL.jpg
16.5 litre,https://m.media-amazon.com/images/I/915aBe5cwYL.jpg
0.68 fluid ounce,https://m.media-amazon.com/images/I/719-4Q-dbCL.jpg
60.0 millilitre,https://m.media-amazon.com/images/I/71ztATxsQhL.jpg
15.0 millilitre,https://m.media-amazon.com/images/I/615jkIGVvNL.jpg
1.0 cup,https://m.media-amazon.com/images/I/81mbfr0-q6L.jpg
1.65 cubic inch,https://m.media-amazon.com/images/I/61+eYLlSS4L.jpg
1.0 quart,https://m.media-amazon.com/images/I/71Y1hfPykTL.jpg
"[70.0, 100.0] millilitre",https://m.media-amazon.com/images/I/91+No1yJ4tL.jpg
1.62 fluid ounce,https://m.media-amazon.com/images/I/71daNqmgOSL.jpg
7.0 millilitre,https://m.media-amazon.com/images/I/71rv8SRQroL.jpg
1.0 litre,https://m.media-amazon.com/images/I/61BvQgyXSzL.jpg
250.0 millilitre,https://m.media-amazon.com/images/I/41VY4lGv03L.jpg
16.0 fluid ounce,https://m.media-amazon.com/images/I/51E3CdTlAHL.jpg
30.0 gallon,https://m.media-amazon.com/images/I/71kJ1Q8e1wL.jpg
8.0 fluid ounce,https://m.media-amazon.com/images/I/519uMx2tw6L.jpg
0.3 fluid ounce,https://m.media-amazon.com/images/I/81ImPxvFUzL.jpg
8.0 fluid ounce,https://m.media-amazon.com/images/I/81bwDbsEVEL.jpg
8.0 centilitre,https://m.media-amazon.com/images/I/614SUuIBXuL.jpg
250.0 millilitre,https://m.media-amazon.com/images/I/715X39C-VmL.jpg
630.0 fluid ounce,https://m.media-amazon.com/images/I/71IF9r2K7FL.jpg
330.0 millilitre,https://m.media-amazon.com/images/I/61i0Qaf4kXL.jpg
8.0 fluid ounce,https://m.media-amazon.com/images/I/91Zo6yHCb-L.jpg
0.5 fluid ounce,https://m.media-amazon.com/images/I/51UW7CngvtL.jpg
1000.0 millilitre,https://m.media-amazon.com/images/I/71Qq3GMVQuL.jpg
5.0 pint,https://m.media-amazon.com/images/I/61A0ikY8rcL.jpg
2.0 cubic inch,https://m.media-amazon.com/images/I/51qdXStJK0L.jpg
0.7 millilitre,https://m.media-amazon.com/images/I/81IMOfFD9dL.jpg
630.0 fluid ounce,https://m.media-amazon.com/images/I/71PPRPt9ylL.jpg
250.0 millilitre,https://m.media-amazon.com/images/I/814lQeftUYL.jpg
300.0 millilitre,https://m.media-amazon.com/images/I/81rgZbtRdVL.jpg
2.0 litre,https://m.media-amazon.com/images/I/71yzldQasDL.jpg
500.0 millilitre,https://m.media-amazon.com/images/I/71-BQQw+kWL.jpg
200.0 millilitre,https://m.media-amazon.com/images/I/61yP3bpkgjL.jpg
300.0 millilitre,https://m.media-amazon.com/images/I/61XC15Elt5L.jpg
