entity_value,image_link
400 gram,https://m.media-amazon.com/images/I/71WpHwZHAML.jpg
20.0 gram,https://m.media-amazon.com/images/I/61LLE5kWCJL.jpg
200 gram,https://m.media-amazon.com/images/I/81gceM5l2iL.jpg
1200.0 milligram,https://m.media-amazon.com/images/I/71WhzY+-0aL.jpg
9.0 ounce,https://m.media-amazon.com/images/I/81nptWTuXLL.jpg
3.0 kilogram,https://m.media-amazon.com/images/I/81qAgMnjSSL.jpg
"[10.0, 14.0] kilogram",https://m.media-amazon.com/images/I/61EOEwhxPdL.jpg
100 gram,https://m.media-amazon.com/images/I/714pztRULNS.jpg
23.0 gram,https://m.media-amazon.com/images/I/71YOloPzwqL.jpg
12 ounce,https://m.media-amazon.com/images/I/814Lhhywx9L.jpg
1.3 kilogram,https://m.media-amazon.com/images/I/71S5VcBG45L.jpg
40.0 gram,https://m.media-amazon.com/images/I/71VJB6Jl5yL.jpg
422.0 gram,https://m.media-amazon.com/images/I/51dIePpXq+L.jpg
300.0 gram,https://m.media-amazon.com/images/I/812Al9XLzbL.jpg
13.9 gram,https://m.media-amazon.com/images/I/71L0CkKFRKL.jpg
102 gram,https://m.media-amazon.com/images/I/61DucqiFaeS.jpg
100.0 gram,https://m.media-amazon.com/images/I/71MSDtv-70L.jpg
50 gram,https://m.media-amazon.com/images/I/31-QAoUmMML.jpg
120.0 gram,https://m.media-amazon.com/images/I/7104ZoAdcSL.jpg
3.3 pound,https://m.media-amazon.com/images/I/81-IreNzIaL.jpg
400 milligram,https://m.media-amazon.com/images/I/61vh2GoW90L.jpg
4.0 gram,https://m.media-amazon.com/images/I/61XT2LjhWsL.jpg
7.2 gram,https://m.media-amazon.com/images/I/51pb47nibwL.jpg
6.0 pound,https://m.media-amazon.com/images/I/71jFXs2QTmL.jpg
8.0 gram,https://m.media-amazon.com/images/I/71NJGJx9EwL.jpg
13.2 ounce,https://m.media-amazon.com/images/I/81aWb67yLIL.jpg
175.0 kilogram,https://m.media-amazon.com/images/I/71NGtQyXiQL.jpg
7.6 pound,https://m.media-amazon.com/images/I/61O76NJVEgL.jpg
15.9 gram,https://m.media-amazon.com/images/I/71qIs+DzaRL.jpg
92.0 gram,https://m.media-amazon.com/images/I/718NJva79UL.jpg
2400.0 milligram,https://m.media-amazon.com/images/I/816py4+FL7L.jpg
80.0 gram,https://m.media-amazon.com/images/I/7103NtShVtL.jpg
114 gram,https://m.media-amazon.com/images/I/51Chuxgu4XL.jpg
70 gram,https://m.media-amazon.com/images/I/710OELwIV2L.jpg
90 gram,https://m.media-amazon.com/images/I/61S7soEpEDL.jpg
500.0 gram,https://m.media-amazon.com/images/I/71Hg3jn03KL.jpg
46.0 gram,https://m.media-amazon.com/images/I/51l+Yq-yUwL.jpg
360.0 gram,https://m.media-amazon.com/images/I/71a+MzITkhL.jpg
3.0 ounce,https://m.media-amazon.com/images/I/71Q0-YUdckL.jpg
2.0 pound,https://m.media-amazon.com/images/I/91X97SSB31L.jpg
35.0 kilogram,https://m.media-amazon.com/images/I/61FgU1udKrL.jpg
100.0 pound,https://m.media-amazon.com/images/I/71SpNLbkSOL.jpg
8.3 ounce,https://m.media-amazon.com/images/I/81TxhT7-nXL.jpg
25.0 gram,https://m.media-amazon.com/images/I/618s-SGt8tL.jpg
14 gram,https://m.media-amazon.com/images/I/61Lyx6USwuL.jpg
10.0 gram,https://m.media-amazon.com/images/I/71hKB5fOnJL.jpg
0.88 ounce,https://m.media-amazon.com/images/I/61KfCMlOBgL.jpg
2.0 ounce,https://m.media-amazon.com/images/I/81V8udj1OxL.jpg
460.0 gram,https://m.media-amazon.com/images/I/61E7D1mndFL.jpg
5.0 kilogram,https://m.media-amazon.com/images/I/61Dj2qr0ZpL.jpg
100.0 gram,https://m.media-amazon.com/images/I/71oAj-Qz7NL.jpg
85.0 gram,https://m.media-amazon.com/images/I/61eQi+opiTL.jpg
190.0 ounce,https://m.media-amazon.com/images/I/81tXzm8x2IL.jpg
1.0 gram,https://m.media-amazon.com/images/I/81fYZEzhxFL.jpg
470.0 gram,https://m.media-amazon.com/images/I/71Z0D27Vn1L.jpg
3.7 gram,https://m.media-amazon.com/images/I/71LJTzGc3WL.jpg
500 gram,https://m.media-amazon.com/images/I/71RBVeskjDL.jpg
750.0 milligram,https://m.media-amazon.com/images/I/61SjRJn+PBL.jpg
360.0 gram,https://m.media-amazon.com/images/I/61gZ7gHOhvL.jpg
30.0 gram,https://m.media-amazon.com/images/I/717Tg+icm3L.jpg
5.8 gram,https://m.media-amazon.com/images/I/51m-1oyvksL.jpg
380 gram,https://m.media-amazon.com/images/I/71t-JRkyS2L.jpg
1 gram,https://m.media-amazon.com/images/I/51VXBuaG8EL.jpg
45.0 gram,https://m.media-amazon.com/images/I/91NtY6md0SL.jpg
0.48 kilogram,https://m.media-amazon.com/images/I/51t6gH6wI5L.jpg
45.0 gram,https://m.media-amazon.com/images/I/61BSOuMAIWL.jpg
1160 gram to 1200 gram,https://m.media-amazon.com/images/I/817Pevv4asL.jpg
32.8 gram,https://m.media-amazon.com/images/I/71UTWuORqAL.jpg
1.3 kilogram,https://m.media-amazon.com/images/I/6118gpFB7qL.jpg
0.2 pound,https://m.media-amazon.com/images/I/51zkL0GrufL.jpg
200.0 gram,https://m.media-amazon.com/images/I/71hb4fS58dL.jpg
80 gram,https://m.media-amazon.com/images/I/718WGo54sAL.jpg
4.0 kilogram,https://m.media-amazon.com/images/I/71m+NbDlhpL.jpg
12.0 ounce,https://m.media-amazon.com/images/I/61tmdZoStDS.jpg
7.5 gram,https://m.media-amazon.com/images/I/61loeH2C-WL.jpg
10 gram,https://m.media-amazon.com/images/I/81BwdhDkNTL.jpg
100 gram,https://m.media-amazon.com/images/I/51k2R2jCZSL.jpg
3 kilogram,https://m.media-amazon.com/images/I/51B-CO95-IL.jpg
2.6 ounce,https://m.media-amazon.com/images/I/71K-kCk2gOL.jpg
16.0 gram,https://m.media-amazon.com/images/I/41Vtm8-2P2S.jpg
5.0 gram,https://m.media-amazon.com/images/I/51g01lvbk+S.jpg
1.0 gram,https://m.media-amazon.com/images/I/51Zpir7GaxL.jpg
7.0 gram,https://m.media-amazon.com/images/I/81dXxmzGofL.jpg
200.0 gram,https://m.media-amazon.com/images/I/61xzTpB-IgL.jpg
35.0 gram,https://m.media-amazon.com/images/I/61Tgr-EjejL.jpg
100 gram,https://m.media-amazon.com/images/I/71xoGbdskOL.jpg
12.0 gram,https://m.media-amazon.com/images/I/81HFwDhNalL.jpg
270.0 gram,https://m.media-amazon.com/images/I/71dwIDhqkKL.jpg
6050.0 milligram,https://m.media-amazon.com/images/I/71gmqxz8foL.jpg
38 pound,https://m.media-amazon.com/images/I/51-JUJsTW+L.jpg
50.0 gram,https://m.media-amazon.com/images/I/81fXBw+9DQL.jpg
2.11 pound,https://m.media-amazon.com/images/I/61gBLW6Ie+L.jpg
12.0 gram,https://m.media-amazon.com/images/I/71h2JDU+dML.jpg
34.0 gram,https://m.media-amazon.com/images/I/81RVfCZPAAL.jpg
250 gram,https://m.media-amazon.com/images/I/61RLnYdsgTL.jpg
51.0 gram,https://m.media-amazon.com/images/I/61IuvLYlKwL.jpg
12.0 gram,https://m.media-amazon.com/images/I/71vWkKaTX4L.jpg
43.2 gram,https://m.media-amazon.com/images/I/51IaRlxZsLL.jpg
80.0 kilogram,https://m.media-amazon.com/images/I/71zRZpoLsOL.jpg
7.1 gram,https://m.media-amazon.com/images/I/61SIHdC7FrL.jpg
