entity_value,image_link
4.0 pound,https://m.media-amazon.com/images/I/71anpO7gswL.jpg
350 pound,https://m.media-amazon.com/images/I/71J8+lHwFmL.jpg
35 pound,https://m.media-amazon.com/images/I/51w8x1a9KiL.jpg
100 kilogram,https://m.media-amazon.com/images/I/71kgM9Vb32L.jpg
250 kilogram,https://m.media-amazon.com/images/I/81UAPYS0KpL.jpg
2 person,https://m.media-amazon.com/images/I/71R95nkABbL.jpg
7.0 pound,https://m.media-amazon.com/images/I/71sNPu8xh8L.jpg
240 kilogram,https://m.media-amazon.com/images/I/61YzJNTQ9FL.jpg
3.0 gram,https://m.media-amazon.com/images/I/61LoMcE7VLL.jpg
100.0 gram,https://m.media-amazon.com/images/I/81V5VhsbXHS.jpg
2.1 gram,https://m.media-amazon.com/images/I/71N-RHemneL.jpg
123.0 gram,https://m.media-amazon.com/images/I/61idgPBNG9L.jpg
17.0 gram,https://m.media-amazon.com/images/I/61kFvEK54yL.jpg
350 pound,https://m.media-amazon.com/images/I/51hEKUzSEVL.jpg
7.0 kilogram,https://m.media-amazon.com/images/I/61jfOnF8DyL.jpg
0.66 pound,https://m.media-amazon.com/images/I/81uYnbA3O+L.jpg
10 kilogram,https://m.media-amazon.com/images/I/51I6ch0UcPL.jpg
20.0 pound,https://m.media-amazon.com/images/I/51gftlIWqCS.jpg
195.0 ton,https://m.media-amazon.com/images/I/612YOqEG2hL.jpg
500.0 gram,https://m.media-amazon.com/images/I/71n4iqvfLZL.jpg
100 kilogram,https://m.media-amazon.com/images/I/91hoEv2srtL.jpg
150 kilogram,https://m.media-amazon.com/images/I/71SG-V+Em8S.jpg
5.0 kilogram,https://m.media-amazon.com/images/I/61r13ptQSWL.jpg
400.0 milligram,https://m.media-amazon.com/images/I/510p1XcjsdL.jpg
250 kilogram,https://m.media-amazon.com/images/I/81ZbJWHRilL.jpg
1.0 gram,https://m.media-amazon.com/images/I/71hsHpbRkgL.jpg
100.0 gram,https://m.media-amazon.com/images/I/61sQqTLh5dL.jpg
1 person,https://m.media-amazon.com/images/I/71QpIXX+pEL.jpg
