entity_value,image_link
12.0 volt,https://m.media-amazon.com/images/I/81M+LNYxNyL.jpg
"[220.0, 240.0] volt",https://m.media-amazon.com/images/I/41qDdRo6EJL.jpg
31.0 volt,https://m.media-amazon.com/images/I/71PD2oyETuL.jpg
230.0 volt,https://m.media-amazon.com/images/I/81P9nGvgcGL.jpg
12.0 volt,https://m.media-amazon.com/images/I/81OuPv8f76L.jpg
230.0 volt,https://m.media-amazon.com/images/I/41waBWCJLbL.jpg
18.0 volt,https://m.media-amazon.com/images/I/51-8rtC8kzL.jpg
5.0 volt,https://m.media-amazon.com/images/I/71MF66ohicS.jpg
3.8 volt,https://m.media-amazon.com/images/I/61bTZNhlTEL.jpg
20.0 volt,https://m.media-amazon.com/images/I/71cGq1lWiCL.jpg
"[120.0, 127.0] volt",https://m.media-amazon.com/images/I/61rbdGlNctL.jpg
110.0 volt,https://m.media-amazon.com/images/I/61NW78Xtp8L.jpg
12.0 volt,https://m.media-amazon.com/images/I/71Mv9Jgp1rL.jpg
230.0 volt,https://m.media-amazon.com/images/I/711yOeZlPbL.jpg
12.0 volt,https://m.media-amazon.com/images/I/712ENc-RXOL.jpg
1.2 volt,https://m.media-amazon.com/images/I/61Y+qqF0-kL.jpg
12.0 volt,https://m.media-amazon.com/images/I/91m2kiHxNeL.jpg
"[110.0, 120.0] volt",https://m.media-amazon.com/images/I/61ghMugUP8L.jpg
5.0 volt,https://m.media-amazon.com/images/I/71e3HSFfrbL.jpg
1.2 volt,https://m.media-amazon.com/images/I/61AEHrjp7OL.jpg
12.0 volt,https://m.media-amazon.com/images/I/61SjjSV8QkL.jpg
5.0 volt,https://m.media-amazon.com/images/I/61YvjFkwVTS.jpg
4.5 volt,https://m.media-amazon.com/images/I/61wdOzYVsjL.jpg
12.0 volt,https://m.media-amazon.com/images/I/81rPRyMts-L.jpg
36.0 volt,https://m.media-amazon.com/images/I/71AeONNGhnL.jpg
120.0 volt,https://m.media-amazon.com/images/I/61u6C+dgvBL.jpg
3.82 volt,https://m.media-amazon.com/images/I/61WmMxx56GL.jpg
0.9565217391304348 volt,https://m.media-amazon.com/images/I/71BrH3xp28L.jpg
3.7 volt,https://m.media-amazon.com/images/I/71jvc8zKRML.jpg
120.0 volt,https://m.media-amazon.com/images/I/71Bz4H3susL.jpg
12.0 volt,https://m.media-amazon.com/images/I/61CSVNXeuOL.jpg
12.0 volt,https://m.media-amazon.com/images/I/61wBaO-MFsL.jpg
"[110.0, 130.0] volt",https://m.media-amazon.com/images/I/71DoyKRfBVL.jpg
"[110.0, 120.0] volt",https://m.media-amazon.com/images/I/71-6PZjwE5L.jpg
6.0 volt,https://m.media-amazon.com/images/I/71u-CmBkPoL.jpg
