entity_value,image_link
250.0 watt,https://m.media-amazon.com/images/I/51Na+Ym6mrL.jpg
100.0 watt,https://m.media-amazon.com/images/I/712xVfULgzL.jpg
9.0 watt,https://m.media-amazon.com/images/I/51m-AlhTa0L.jpg
250.0 watt,https://m.media-amazon.com/images/I/71dJNiktQhL.jpg
324.0 watt,https://m.media-amazon.com/images/I/518chMFNoYL.jpg
65.0 watt,https://m.media-amazon.com/images/I/4155-mT5dHL.jpg
240.0 watt,https://m.media-amazon.com/images/I/71X1t5tyrFL.jpg
8.0 watt,https://m.media-amazon.com/images/I/71IiCkHLRUL.jpg
10.0 watt,https://m.media-amazon.com/images/I/61kh4EsIp+L.jpg
20.0 watt,https://m.media-amazon.com/images/I/71b96sXHV9L.jpg
50.0 watt,https://m.media-amazon.com/images/I/711ujGTBCPL.jpg
60.0 watt,https://m.media-amazon.com/images/I/61R6sdETX9L.jpg
48.0 watt,https://m.media-amazon.com/images/I/61vgoVAbq6S.jpg
100.0 watt,https://m.media-amazon.com/images/I/71ZjN3BvS2L.jpg
11.0 watt,https://m.media-amazon.com/images/I/71fQJu8uexL.jpg
100.0 watt,https://m.media-amazon.com/images/I/81DgMV1e5rL.jpg
18.0 watt,https://m.media-amazon.com/images/I/616xgAf6b7L.jpg
25.0 watt,https://m.media-amazon.com/images/I/71+njLByDLL.jpg
18.0 watt,https://m.media-amazon.com/images/I/61Yv23aN4yL.jpg
88.0 watt,https://m.media-amazon.com/images/I/71fOnNOm+tL.jpg
122.0 watt,https://m.media-amazon.com/images/I/51SuMnlmjGL.jpg
5.0 watt,https://m.media-amazon.com/images/I/81KLea4yP4L.jpg
58.0 watt,https://m.media-amazon.com/images/I/71erktqfZOL.jpg
2160.0 horsepower,https://m.media-amazon.com/images/I/81jeUUIWF9L.jpg
40.0 watt,https://m.media-amazon.com/images/I/61YmdedqkHL.jpg
240.0 watt,https://m.media-amazon.com/images/I/81yyQ0e8YqL.jpg
1000.0 watt,https://m.media-amazon.com/images/I/4102z0VMs2L.jpg
152.0 watt,https://m.media-amazon.com/images/I/71M4yC9kLaL.jpg
1000.0 watt,https://m.media-amazon.com/images/I/816xvDKGhmL.jpg
12.0 watt,https://m.media-amazon.com/images/I/71K0mjibwwL.jpg
35.0 watt,https://m.media-amazon.com/images/I/711va4y034L.jpg
15.0 watt,https://m.media-amazon.com/images/I/713uND39MXL.jpg
500.0 watt,https://m.media-amazon.com/images/I/619ivWf2YES.jpg
60.0 watt,https://m.media-amazon.com/images/I/81N7jlkcJiL.jpg
240.0 watt,https://m.media-amazon.com/images/I/71aaX-5BccL.jpg
140.0 watt,https://m.media-amazon.com/images/I/71ljzAmrv2L.jpg
10.5 watt,https://m.media-amazon.com/images/I/619dPHLlEDL.jpg
200.0 watt,https://m.media-amazon.com/images/I/71LQZAQ4s7L.jpg
4.0 watt,https://m.media-amazon.com/images/I/61ifu2S7Z5L.jpg
1080.0 horsepower,https://m.media-amazon.com/images/I/71Qrv5Yzf1L.jpg
2.5 watt,https://m.media-amazon.com/images/I/81fXakFSFKL.jpg
100.0 watt,https://m.media-amazon.com/images/I/71u42XeZhuL.jpg
35.0 watt,https://m.media-amazon.com/images/I/316WwdeOqlL.jpg
100.0 watt,https://m.media-amazon.com/images/I/71CREPbD4cL.jpg
100.0 watt,https://m.media-amazon.com/images/I/71Yeh6bFWSL.jpg
0.0 watt,https://m.media-amazon.com/images/I/61dEcQd5EEL.jpg
18.0 watt,https://m.media-amazon.com/images/I/71sw7pUqbmL.jpg
100.0 watt,https://m.media-amazon.com/images/I/81j3J-MvUmL.jpg
20.0 watt,https://m.media-amazon.com/images/I/71uDg6imMPL.jpg
0.0 watt,https://m.media-amazon.com/images/I/71m5euxapjL.jpg
250.0 watt,https://m.media-amazon.com/images/I/81pozXbEnTL.jpg
250.0 watt,https://m.media-amazon.com/images/I/71lag2DRsNL.jpg
5.0 watt,https://m.media-amazon.com/images/I/51SIV7yDMDL.jpg
73843.0 watt,https://m.media-amazon.com/images/I/61GKVH2EwFL.jpg
17.0 horsepower,https://m.media-amazon.com/images/I/71WQipc8FmL.jpg
1.5 watt,https://m.media-amazon.com/images/I/71beQcHFQkL.jpg
18.0 watt,https://m.media-amazon.com/images/I/71l2ImbHqSL.jpg
9.0 watt,https://m.media-amazon.com/images/I/61Pz8HdcF1L.jpg
12.0 watt,https://m.media-amazon.com/images/I/81YItMNNonL.jpg
50.0 watt,https://m.media-amazon.com/images/I/51ZcYLsKimL.jpg
120.0 watt,https://m.media-amazon.com/images/I/71Wmro-Mc9L.jpg
