entity_value,image_link
40.0 centimetre,https://m.media-amazon.com/images/I/51iWx2s44AL.jpg
60.0 centimetre,https://m.media-amazon.com/images/I/619jNFSyzGL.jpg
3.0 inch,https://m.media-amazon.com/images/I/51dxN-6+c4L.jpg
16.5 centimetre,https://m.media-amazon.com/images/I/61-S+WHMY1L.jpg
8.6 centimetre,https://m.media-amazon.com/images/I/51piWeoJSIL.jpg
0.59 inch,https://m.media-amazon.com/images/I/51zTlQ23CgL.jpg
9.25 inch,https://m.media-amazon.com/images/I/51dpTgS3DYL.jpg
22.0 centimetre,https://m.media-amazon.com/images/I/51UwymbXtkL.jpg
5.0 inch,https://m.media-amazon.com/images/I/41i9buD36UL.jpg
70.0 centimetre,https://m.media-amazon.com/images/I/61C+7Nw5RnL.jpg
6.2 inch,https://m.media-amazon.com/images/I/51C-E6fWdKS.jpg
15.0 centimetre,https://m.media-amazon.com/images/I/51Zh-AwtN2L.jpg
8.7 centimetre,https://m.media-amazon.com/images/I/51aWxxjZT2L.jpg
18.0 inch,https://m.media-amazon.com/images/I/618kaa0ITuL.jpg
21.0 inch,https://m.media-amazon.com/images/I/51ehdFL-aJL.jpg
7.1 inch,https://m.media-amazon.com/images/I/518Ty-YkyTL.jpg
1.4 inch,https://m.media-amazon.com/images/I/6196bwX93DL.jpg
4.5 centimetre,https://m.media-amazon.com/images/I/51QAmiraOLL.jpg
13.0 centimetre,https://m.media-amazon.com/images/I/51GYtjTRJaL.jpg
62.5 millimetre,https://m.media-amazon.com/images/I/51MaeBs2faL.jpg
12.0 inch,https://m.media-amazon.com/images/I/51xu9OazL4L.jpg
18.0 centimetre,https://m.media-amazon.com/images/I/41nUa-4O5fL.jpg
125.0 millimetre,https://m.media-amazon.com/images/I/51ev2M22fSL.jpg
6.0 millimetre,https://m.media-amazon.com/images/I/41k7G4BIHBL.jpg
12.0 inch,https://m.media-amazon.com/images/I/51ZoHrFAB9L.jpg
560.0 millimetre,https://m.media-amazon.com/images/I/51Bf8CcvUCL.jpg
2.8 inch,https://m.media-amazon.com/images/I/51T0aspgabL.jpg
23.0 millimetre,https://m.media-amazon.com/images/I/41bKW7vV1FS.jpg
17.0 inch,https://m.media-amazon.com/images/I/61+3LWLBErL.jpg
6.0 centimetre,https://m.media-amazon.com/images/I/51EcxUOktmL.jpg
56.0 centimetre,https://m.media-amazon.com/images/I/51fKRLRxOnL.jpg
6.0 inch,https://m.media-amazon.com/images/I/51rekS9tNZL.jpg
20.47 inch,https://m.media-amazon.com/images/I/51r5b3inZkL.jpg
12.5 centimetre,https://m.media-amazon.com/images/I/51AbXW5cQgL.jpg
25.0 millimetre,https://m.media-amazon.com/images/I/51z6Ax43IFL.jpg
51.0 inch,https://m.media-amazon.com/images/I/614zYUhfmjL.jpg
1.0 inch,https://m.media-amazon.com/images/I/514aS6Lbl3L.jpg
11.0 centimetre,https://m.media-amazon.com/images/I/51buf4zVxeL.jpg
24.0 millimetre,https://m.media-amazon.com/images/I/51LDoNwgnsL.jpg
8.2 centimetre,https://m.media-amazon.com/images/I/51wGQ+lxSeL.jpg
1.9 inch,https://m.media-amazon.com/images/I/617UIIdZSWL.jpg
23.49 centimetre,https://m.media-amazon.com/images/I/61BFaZ7OfXL.jpg
4.0 foot,https://m.media-amazon.com/images/I/51b2ldAUq4L.jpg
16.14 inch,https://m.media-amazon.com/images/I/61EQB+NDafL.jpg
15.0 centimetre,https://m.media-amazon.com/images/I/617g+QMELAL.jpg
0.99 inch,https://m.media-amazon.com/images/I/41es1uq+zyL.jpg
32.5 centimetre,https://m.media-amazon.com/images/I/51GjfmE3ebL.jpg
70.0 centimetre,https://m.media-amazon.com/images/I/614sfbdI68L.jpg
3.8 inch,https://m.media-amazon.com/images/I/61COQv1Yj0L.jpg
26.0 inch,https://m.media-amazon.com/images/I/51BI9QBslQL.jpg
3.5 inch,https://m.media-amazon.com/images/I/51VXq1iJt6L.jpg
3.56 inch,https://m.media-amazon.com/images/I/612hTt+-1NL.jpg
38.0 centimetre,https://m.media-amazon.com/images/I/51lJgmhZw1L.jpg
44.0 centimetre,https://m.media-amazon.com/images/I/51Ux2FYrqEL.jpg
2.0 inch,https://m.media-amazon.com/images/I/61+aOqxg1OL.jpg
9.0 centimetre,https://m.media-amazon.com/images/I/51xHYPvdbXL.jpg
7.87 inch,https://m.media-amazon.com/images/I/51TVRB2NT7L.jpg
17.0 inch,https://m.media-amazon.com/images/I/6145OocBwXL.jpg
2.3 inch,https://m.media-amazon.com/images/I/51+yHOOX2IL.jpg
5.6 centimetre,https://m.media-amazon.com/images/I/51j1u+gRyhS.jpg
16.0 inch,https://m.media-amazon.com/images/I/51HXsULbAdL.jpg
4.25 inch,https://m.media-amazon.com/images/I/619DEgvo3xL.jpg
20.0 centimetre,https://m.media-amazon.com/images/I/51Py6Nlj1nL.jpg
10.8 inch,https://m.media-amazon.com/images/I/51EXqVEnoQL.jpg
10.25 inch,https://m.media-amazon.com/images/I/51Vty6fKkLL.jpg
30.0 millimetre,https://m.media-amazon.com/images/I/41fpvXh03yL.jpg
8.0 inch,https://m.media-amazon.com/images/I/51uT9Ng4u8L.jpg
46.0 centimetre,https://m.media-amazon.com/images/I/51h77s+e0rL.jpg
16.3 centimetre,https://m.media-amazon.com/images/I/51McSh4-B1L.jpg
13.0 centimetre,https://m.media-amazon.com/images/I/51-QbpvApVL.jpg
40.0 millimetre,https://m.media-amazon.com/images/I/614YAD9TvaL.jpg
32.0 inch,https://m.media-amazon.com/images/I/61A1joH5-aL.jpg
38.0 millimetre,https://m.media-amazon.com/images/I/51h62dwgFkL.jpg
390.0 millimetre,https://m.media-amazon.com/images/I/51rIhHbXvWL.jpg
4.5 centimetre,https://m.media-amazon.com/images/I/51KnKjM4KcS.jpg
90.0 centimetre,https://m.media-amazon.com/images/I/51c1FpYfjNL.jpg
29.7 millimetre,https://m.media-amazon.com/images/I/51hNr5sn2eL.jpg
5.0 inch,https://m.media-amazon.com/images/I/51tJs+DkTjL.jpg
25.0 millimetre,https://m.media-amazon.com/images/I/617dS3th9JL.jpg
2.5 inch,https://m.media-amazon.com/images/I/61FNYHBHDML.jpg
130.0 centimetre,https://m.media-amazon.com/images/I/61-cnAJG2uL.jpg
8.0 inch,https://m.media-amazon.com/images/I/51KsDHl+NSL.jpg
44.5 centimetre,https://m.media-amazon.com/images/I/61F245c2hCL.jpg
67.13 inch,https://m.media-amazon.com/images/I/41g4hvl5QcL.jpg
180.0 centimetre,https://m.media-amazon.com/images/I/51dETh0riWL.jpg
55.0 centimetre,https://m.media-amazon.com/images/I/51-iq7rcUPL.jpg
69.0 centimetre,https://m.media-amazon.com/images/I/51D4hcIJTAL.jpg
138.0 millimetre,https://m.media-amazon.com/images/I/41EkD0nXusL.jpg
22.0 millimetre,https://m.media-amazon.com/images/I/61FseOf2MjL.jpg
45.0 centimetre,https://m.media-amazon.com/images/I/61DvL1VBHTL.jpg
2.0 inch,https://m.media-amazon.com/images/I/51GWdGjoB5S.jpg
4.0 centimetre,https://m.media-amazon.com/images/I/51IjkrJ8TiL.jpg
2.2 centimetre,https://m.media-amazon.com/images/I/51zmJJRqQxL.jpg
27.0 centimetre,https://m.media-amazon.com/images/I/51CX0MP-ldL.jpg
25.0 centimetre,https://m.media-amazon.com/images/I/6137JokopWL.jpg
90.0 millimetre,https://m.media-amazon.com/images/I/61A1CgguE4L.jpg
42.0 inch,https://m.media-amazon.com/images/I/61-f2eYd4LL.jpg
30.2 centimetre,https://m.media-amazon.com/images/I/6145Q6tBIuS.jpg
16.4 inch,https://m.media-amazon.com/images/I/510vRvbv94L.jpg
22.0 inch,https://m.media-amazon.com/images/I/51Nf1vyVP6L.jpg
